division,date,GB,L,RA,RS,Tm,W,W-L%,pythW-L%
AL East,2015-04-05 00:00:00,0.0,0,0,0,BAL,0,.000,
AL East,2015-04-05 00:00:00,0.0,0,0,0,NYY,0,.000,
AL East,2015-04-05 00:00:00,0.0,0,0,0,TBR,0,.000,
AL East,2015-04-05 00:00:00,0.0,0,0,0,BOS,0,.000,
AL East,2015-04-05 00:00:00,0.0,0,0,0,TOR,0,.000,
AL Central,2015-04-05 00:00:00,0.0,0,0,0,CLE,0,.000,
AL Central,2015-04-05 00:00:00,0.0,0,0,0,MIN,0,.000,
AL Central,2015-04-05 00:00:00,0.0,0,0,0,DET,0,.000,
AL Central,2015-04-05 00:00:00,0.0,0,0,0,CHW,0,.000,
AL Central,2015-04-05 00:00:00,0.0,0,0,0,KCR,0,.000,
AL West,2015-04-05 00:00:00,0.0,0,0,0,SEA,0,.000,
AL West,2015-04-05 00:00:00,0.0,0,0,0,TEX,0,.000,
AL West,2015-04-05 00:00:00,0.0,0,0,0,HOU,0,.000,
AL West,2015-04-05 00:00:00,0.0,0,0,0,OAK,0,.000,
AL West,2015-04-05 00:00:00,0.0,0,0,0,LAA,0,.000,
NL East,2015-04-05 00:00:00,0.0,0,0,0,PHI,0,.000,
NL East,2015-04-05 00:00:00,0.0,0,0,0,WSN,0,.000,
NL East,2015-04-05 00:00:00,0.0,0,0,0,ATL,0,.000,
NL East,2015-04-05 00:00:00,0.0,0,0,0,NYM,0,.000,
NL East,2015-04-05 00:00:00,0.0,0,0,0,MIA,0,.000,
NL Central,2015-04-05 00:00:00,0.0,0,0,3,STL,1,1.000,1.000
NL Central,2015-04-05 00:00:00,0.5,0,0,0,CIN,0,.000,
NL Central,2015-04-05 00:00:00,0.5,0,0,0,MIL,0,.000,
NL Central,2015-04-05 00:00:00,0.5,0,0,0,PIT,0,.000,
NL Central,2015-04-05 00:00:00,1.0,1,3,0,CHC,0,.000,.000
NL West,2015-04-05 00:00:00,0.0,0,0,0,ARI,0,.000,
NL West,2015-04-05 00:00:00,0.0,0,0,0,LAD,0,.000,
NL West,2015-04-05 00:00:00,0.0,0,0,0,SDP,0,.000,
NL West,2015-04-05 00:00:00,0.0,0,0,0,COL,0,.000,
NL West,2015-04-05 00:00:00,0.0,0,0,0,SFG,0,.000,
AL East,2015-04-06 00:00:00,0.0,0,2,6,BAL,1,1.000,.882
AL East,2015-04-06 00:00:00,0.0,0,0,8,BOS,1,1.000,1.000
AL East,2015-04-06 00:00:00,0.0,0,1,6,TOR,1,1.000,.964
AL East,2015-04-06 00:00:00,1.0,1,6,1,NYY,0,.000,.036
AL East,2015-04-06 00:00:00,1.0,1,6,2,TBR,0,.000,.118
AL Central,2015-04-06 00:00:00,0.0,0,0,4,DET,1,1.000,1.000
AL Central,2015-04-06 00:00:00,0.0,0,1,10,KCR,1,1.000,.985
AL Central,2015-04-06 00:00:00,1.0,1,2,0,CLE,0,.000,.000
AL Central,2015-04-06 00:00:00,1.0,1,4,0,MIN,0,.000,.000
AL Central,2015-04-06 00:00:00,1.0,1,10,1,CHW,0,.000,.015
AL West,2015-04-06 00:00:00,0.0,0,1,4,SEA,1,1.000,.927
AL West,2015-04-06 00:00:00,0.0,0,0,2,HOU,1,1.000,1.000
AL West,2015-04-06 00:00:00,0.0,0,0,8,OAK,1,1.000,1.000
AL West,2015-04-06 00:00:00,1.0,1,8,0,TEX,0,.000,.000
AL West,2015-04-06 00:00:00,1.0,1,4,1,LAA,0,.000,.073
NL East,2015-04-06 00:00:00,0.0,0,1,2,ATL,1,1.000,.780
NL East,2015-04-06 00:00:00,0.0,0,1,3,NYM,1,1.000,.882
NL East,2015-04-06 00:00:00,1.0,1,8,0,PHI,0,.000,.000
NL East,2015-04-06 00:00:00,1.0,1,3,1,WSN,0,.000,.118
NL East,2015-04-06 00:00:00,1.0,1,2,1,MIA,0,.000,.220
NL Central,2015-04-06 00:00:00,0.0,0,0,3,STL,1,1.000,1.000
NL Central,2015-04-06 00:00:00,0.0,0,2,5,CIN,1,1.000,.842
NL Central,2015-04-06 00:00:00,1.0,1,3,0,CHC,0,.000,.000
NL Central,2015-04-06 00:00:00,1.0,1,10,0,MIL,0,.000,.000
NL Central,2015-04-06 00:00:00,1.0,1,5,2,PIT,0,.000,.158
NL West,2015-04-06 00:00:00,0.0,0,3,6,LAD,1,1.000,.780
NL West,2015-04-06 00:00:00,0.0,0,0,10,COL,1,1.000,1.000
NL West,2015-04-06 00:00:00,0.0,0,4,5,SFG,1,1.000,.601
NL West,2015-04-06 00:00:00,1.0,1,5,4,ARI,0,.000,.399
NL West,2015-04-06 00:00:00,1.0,1,6,3,SDP,0,.000,.220
AL East,2015-04-07 00:00:00,0.0,0,7,12,BAL,2,1.000,.728
AL East,2015-04-07 00:00:00,0.5,0,0,8,BOS,1,1.000,1.000
AL East,2015-04-07 00:00:00,0.5,0,1,6,TOR,1,1.000,.964
AL East,2015-04-07 00:00:00,1.5,1,6,1,NYY,0,.000,.036
AL East,2015-04-07 00:00:00,2.0,2,12,7,TBR,0,.000,.272
AL Central,2015-04-07 00:00:00,0.0,0,0,4,DET,1,1.000,1.000
AL Central,2015-04-07 00:00:00,0.0,0,1,10,KCR,1,1.000,.985
AL Central,2015-04-07 00:00:00,1.0,1,2,0,CLE,0,.000,.000
AL Central,2015-04-07 00:00:00,1.0,1,4,0,MIN,0,.000,.000
AL Central,2015-04-07 00:00:00,1.0,1,10,1,CHW,0,.000,.015
AL West,2015-04-07 00:00:00,0.0,0,0,2,HOU,1,1.000,1.000
AL West,2015-04-07 00:00:00,0.5,1,3,4,SEA,1,.500,.629
AL West,2015-04-07 00:00:00,0.5,1,9,3,TEX,1,.500,.118
AL West,2015-04-07 00:00:00,0.5,1,3,9,OAK,1,.500,.882
AL West,2015-04-07 00:00:00,0.5,1,4,3,LAA,1,.500,.371
NL East,2015-04-07 00:00:00,0.0,0,3,14,ATL,2,1.000,.944
NL East,2015-04-07 00:00:00,0.5,0,1,3,NYM,1,1.000,.882
NL East,2015-04-07 00:00:00,1.5,1,8,0,PHI,0,.000,.000
NL East,2015-04-07 00:00:00,1.5,1,3,1,WSN,0,.000,.118
NL East,2015-04-07 00:00:00,2.0,2,14,3,MIA,0,.000,.056
NL Central,2015-04-07 00:00:00,0.0,0,0,3,STL,1,1.000,1.000
