date,CHW,CLE,DET,KCR,MIN
2015-04-05,-0.0,-0.0,-0.0,-0.0,-0.0
2015-04-06,-1.0,-1.0,-0.0,-0.0,-1.0
2015-04-07,-1.0,-1.0,-0.0,-0.0,-1.0
2015-04-08,-2.0,-1.0,-0.0,-0.0,-2.0
2015-04-09,-3.0,-1.0,-0.0,-0.0,-3.0
2015-04-10,-4.0,-2.0,-0.0,-0.0,-3.0
2015-04-11,-4.0,-3.0,-0.0,-0.0,-4.0
2015-04-12,-4.0,-4.0,-0.0,-0.0,-5.0
2015-04-13,-4.5,-4.5,-1.0,-0.0,-6.0
2015-04-14,-4.0,-5.0,-0.5,-0.0,-6.0
2015-04-15,-4.5,-4.5,-0.0,-0.5,-5.5
2015-04-16,-4.5,-4.5,-0.0,-1.0,-5.0
2015-04-17,-5.5,-5.5,-0.0,-1.0,-5.0
2015-04-18,-4.5,-4.5,-0.0,-1.0,-5.0
2015-04-19,-5.5,-5.5,-0.0,-1.0,-5.0
2015-04-20,-5.5,-6.5,-0.0,-1.0,-6.0
2015-04-21,-5.5,-5.5,-0.0,-0.0,-6.0
2015-04-22,-4.5,-5.5,-0.0,-0.0,-5.0
2015-04-23,-5.5,-6.0,-1.0,-0.0,-5.5
2015-04-24,-4.5,-5.0,-1.0,-0.0,-5.5
2015-04-25,-4.5,-5.5,-0.5,-0.0,-5.0
2015-04-26,-4.0,-6.0,-0.0,-0.5,-4.5
2015-04-27,-4.5,-7.0,-0.0,-0.5,-5.5
2015-04-28,-4.5,-7.5,-0.5,-0.0,-5.0
2015-04-29,-5.0,-7.0,-0.0,-0.5,-5.5
2015-04-30,-5.5,-7.5,-0.5,-0.0,-5.0
2015-05-01,-6.5,-7.5,-1.5,-0.0,-5.0
2015-05-02,-6.5,-7.5,-0.5,-0.0,-4.0
2015-05-03,-7.0,-7.0,-0.0,-0.5,-3.5
2015-05-04,-7.0,-7.0,-0.0,-0.5,-3.0
2015-05-05,-6.5,-7.5,-0.5,-0.0,-3.5
2015-05-06,-5.5,-6.5,-0.5,-0.0,-2.5
2015-05-07,-6.5,-7.5,-0.5,-0.0,-2.5
2015-05-08,-6.5,-8.0,-0.0,-0.5,-2.0
2015-05-09,-6.5,-8.5,-0.5,-0.0,-1.5
2015-05-10,-6.5,-8.5,-1.5,-0.0,-2.5
2015-05-11,-6.5,-8.0,-1.0,-0.0,-2.0
2015-05-12,-6.5,-9.0,-1.0,-0.0,-3.0
2015-05-13,-5.5,-8.0,-1.0,-0.0,-2.0
2015-05-14,-6.0,-9.0,-1.0,-0.0,-3.0
2015-05-15,-6.0,-9.0,-1.0,-0.0,-3.0
2015-05-16,-5.0,-8.0,-0.0,-0.0,-2.0
2015-05-17,-5.0,-9.0,-1.0,-0.0,-3.0
2015-05-18,-4.5,-9.5,-1.5,-0.0,-3.0
2015-05-19,-5.5,-9.5,-2.5,-0.0,-3.0
2015-05-20,-6.5,-9.5,-2.5,-0.0,-3.0
2015-05-21,-7.0,-9.0,-2.0,-0.0,-3.0
2015-05-22,-7.0,-9.0,-2.0,-0.0,-4.0
2015-05-23,-8.0,-9.0,-3.0,-0.0,-4.0
2015-05-24,-8.0,-8.0,-3.0,-0.0,-3.0
2015-05-25,-8.0,-8.0,-3.0,-0.0,-2.0
2015-05-26,-8.0,-8.0,-2.0,-0.0,-1.0
2015-05-27,-7.0,-7.0,-1.0,-0.0,-0.0
2015-05-28,-7.0,-6.5,-1.5,-0.0,-0.0
2015-05-29,-7.0,-7.5,-2.5,-0.0,-1.0
2015-05-30,-7.5,-7.0,-3.0,-0.0,-0.5
2015-05-31,-7.0,-6.5,-3.5,-0.5,-0.0
2015-06-01,-7.0,-6.5,-3.5,-0.5,-0.0
2015-06-02,-7.0,-5.5,-3.5,-0.5,-0.0
2015-06-03,-6.5,-6.0,-4.0,-0.0,-0.0
2015-06-04,-7.5,-6.0,-5.0,-1.0,-0.0
2015-06-05,-6.5,-6.0,-5.0,-1.0,-0.0
2015-06-06,-6.5,-5.0,-4.0,-1.0,-0.0
2015-06-07,-7.5,-6.0,-4.0,-1.0,-0.0
2015-06-08,-6.5,-5.5,-3.5,-0.0,-0.0
2015-06-09,-6.5,-6.5,-3.5,-0.0,-1.0
2015-06-10,-6.5,-7.5,-4.5,-0.0,-2.0
2015-06-11,-6.5,-7.0,-4.5,-0.0,-2.0
2015-06-12,-6.5,-7.0,-3.5,-0.0,-2.0
2015-06-13,-6.5,-6.0,-3.5,-0.0,-2.0
2015-06-14,-7.0,-6.5,-3.0,-0.0,-1.5
2015-06-15,-8.0,-7.0,-3.0,-0.0,-2.5
2015-06-16,-9.0,-7.0,-4.0,-0.0,-3.5
2015-06-17,-10.0,-8.0,-5.0,-0.0,-3.5
2015-06-18,-11.0,-8.0,-5.5,-0.0,-3.5
2015-06-19,-11.0,-8.0,-5.5,-0.0,-2.5
2015-06-20,-11.0,-9.0,-6.5,-0.0,-3.5
2015-06-21,-10.0,-8.0,-5.5,-0.0,-3.5
2015-06-22,-11.0,-9.0,-5.5,-0.0,-3.5
2015-06-23,-10.0,-9.0,-4.5,-0.0,-3.5
2015-06-24,-11.0,-9.0,-5.5,-0.0,-3.5
2015-06-25,-10.5,-9.0,-6.0,-0.0,-3.5
